#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA1	PDK4	9606.ENSP00000363868	9606.ENSP00000005178	0	0	0	0	0.060	0.045	0.183	0.366	0.473
ABCA1	CCL2	9606.ENSP00000363868	9606.ENSP00000225831	0	0	0	0	0.085	0	0	0.564	0.584
ABCA1	DGAT2	9606.ENSP00000363868	9606.ENSP00000228027	0	0	0	0	0.052	0	0	0.409	0.416
ABCA1	LRP1	9606.ENSP00000363868	9606.ENSP00000243077	0	0	0	0	0.076	0	0	0.523	0.540
ABCA1	LIPE	9606.ENSP00000363868	9606.ENSP00000244289	0	0	0	0	0	0	0	0.473	0.473
ABCA1	FABP4	9606.ENSP00000363868	9606.ENSP00000256104	0	0	0	0	0.044	0	0	0.457	0.458
ABCA1	SQLE	9606.ENSP00000363868	9606.ENSP00000265896	0	0	0	0	0	0.051	0	0.519	0.524
ABCA1	CELSR2	9606.ENSP00000363868	9606.ENSP00000271332	0	0	0	0	0	0	0	0.546	0.546
ABCA1	PLIN2	9606.ENSP00000363868	9606.ENSP00000276914	0	0	0	0	0.068	0.048	0	0.669	0.681
ABCA1	PPARG	9606.ENSP00000363868	9606.ENSP00000287820	0	0	0	0	0.044	0.049	0	0.818	0.820
ABCA1	LEP	9606.ENSP00000363868	9606.ENSP00000312652	0	0	0	0	0.049	0	0	0.644	0.646
ABCA1	CLU	9606.ENSP00000363868	9606.ENSP00000315130	0	0	0	0	0.055	0.062	0	0.451	0.471
ABCA1	SNTB2	9606.ENSP00000363868	9606.ENSP00000338191	0	0	0	0	0	0.510	0	0.669	0.830
ABCA1	CAV1	9606.ENSP00000363868	9606.ENSP00000339191	0	0	0	0	0	0	0	0.692	0.692
ABCA1	APOD	9606.ENSP00000363868	9606.ENSP00000345179	0	0	0	0	0.042	0	0	0.515	0.515
ABCA1	DHCR7	9606.ENSP00000363868	9606.ENSP00000347717	0	0	0	0	0.055	0	0	0.472	0.479
ABCA1	DMD	9606.ENSP00000363868	9606.ENSP00000354923	0	0	0	0	0	0.292	0	0.414	0.567
ABCA1	CFH	9606.ENSP00000363868	9606.ENSP00000356399	0	0	0	0	0.062	0	0	0.531	0.541
ABCA1	SCD	9606.ENSP00000363868	9606.ENSP00000359380	0	0	0	0	0.065	0	0	0.546	0.558
ABCA1	CH25H	9606.ENSP00000363868	9606.ENSP00000360918	0	0	0	0	0.047	0.082	0	0.460	0.487
ABCA1	MMP9	9606.ENSP00000363868	9606.ENSP00000361405	0	0	0	0	0.088	0	0	0.430	0.458
ABCA1	TLR4	9606.ENSP00000363868	9606.ENSP00000363089	0	0	0	0	0.124	0	0	0.545	0.584
ABCA1	MRC1	9606.ENSP00000363868	9606.ENSP00000455897	0	0	0	0	0.120	0.045	0	0.373	0.428
ABCA1	ADIPOQ	9606.ENSP00000363868	9606.ENSP00000389814	0	0	0	0	0.060	0	0	0.478	0.488
ABCA1	ACSL1	9606.ENSP00000363868	9606.ENSP00000422607	0	0	0	0	0.098	0.094	0	0.443	0.505
ABCA1	ABCA8	9606.ENSP00000363868	9606.ENSP00000467271	0	0	0	0.663	0.065	0	0	0.496	0.509
ABCA1	VLDLR	9606.ENSP00000363868	9606.ENSP00000371532	0	0	0	0	0	0	0	0.582	0.582
ABCA1	IL6	9606.ENSP00000363868	9606.ENSP00000385675	0	0	0	0	0.063	0	0	0.604	0.613
ABCA1	LPL	9606.ENSP00000363868	9606.ENSP00000497642	0	0	0	0	0.042	0	0	0.669	0.670
ABCA1	NIPSNAP3B	9606.ENSP00000363868	9606.ENSP00000363894	0	0	0	0	0	0	0	0.715	0.715
ABCA1	INS-IGF2	9606.ENSP00000363868	9606.ENSP00000380440	0	0	0	0	0.056	0	0	0.746	0.750
ABCA1	GULP1	9606.ENSP00000363868	9606.ENSP00000386289	0	0	0	0	0.043	0	0	0.828	0.829
ABCA1	PLTP	9606.ENSP00000363868	9606.ENSP00000417138	0	0	0	0	0.063	0	0	0.825	0.829
ABCA1	CD36	9606.ENSP00000363868	9606.ENSP00000415743	0	0	0	0	0.087	0	0	0.823	0.831
ABCA6	APOD	9606.ENSP00000284425	9606.ENSP00000345179	0	0	0	0	0.127	0	0	0.415	0.468
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0.061	0.959	0.345	0.255	0	0.389	0.683
ABCA6	FOXO1	9606.ENSP00000284425	9606.ENSP00000368880	0	0	0	0	0.076	0.054	0.750	0.149	0.789
ABCA6	ABCA9	9606.ENSP00000284425	9606.ENSP00000342216	0	0	0.060	0.960	0.771	0.068	0	0.078	0.790
ABCA8	ADH1B	9606.ENSP00000467271	9606.ENSP00000306606	0	0	0	0	0.391	0	0	0.236	0.514
ABCA8	ZCCHC24	9606.ENSP00000467271	9606.ENSP00000361411	0	0	0	0	0.091	0	0	0.437	0.466
ABCA8	SVEP1	9606.ENSP00000467271	9606.ENSP00000363593	0	0	0	0	0.232	0.071	0	0.231	0.404
ABCA8	IGF1	9606.ENSP00000467271	9606.ENSP00000376637	0	0	0	0	0.151	0	0	0.403	0.471
ABCA8	MFAP4	9606.ENSP00000467271	9606.ENSP00000378957	0	0	0	0	0.138	0.045	0	0.442	0.501
ABCA8	SPARCL1	9606.ENSP00000467271	9606.ENSP00000414856	0	0	0	0	0.144	0	0	0.411	0.475
ABHD5	DGAT2	9606.ENSP00000495778	9606.ENSP00000228027	0	0	0	0	0.089	0	0	0.643	0.661
ABHD5	ACADL	9606.ENSP00000495778	9606.ENSP00000233710	0	0	0	0	0.079	0.145	0.179	0.297	0.485
ABHD5	LIPE	9606.ENSP00000495778	9606.ENSP00000244289	0.043	0	0	0	0	0	0.108	0.913	0.919
ABHD5	FABP4	9606.ENSP00000495778	9606.ENSP00000256104	0	0	0	0	0.042	0.045	0	0.644	0.645
ABHD5	MGLL	9606.ENSP00000495778	9606.ENSP00000265052	0.051	0	0	0	0.048	0	0.116	0.747	0.771
ABHD5	GPAM	9606.ENSP00000495778	9606.ENSP00000265276	0	0	0	0	0.042	0	0	0.417	0.417
